"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1951","TC3: Validar creación de nueva mascota con datos válidos","","Wed Jan 22 18:43:50 ART 2025","passed","Wed Jan 22 18:43:52 ART 2025","","pet\Post-TC3.spec.ts","",""
"","1517","TC9: Validar que no existe mascota con ID inválido","","Wed Jan 22 18:43:50 ART 2025","passed","Wed Jan 22 18:43:52 ART 2025","","pet\Get-TC9.spec.ts","",""
"","2046","TC8: Validar obtención de detalles de mascota por ID válido","","Wed Jan 22 18:43:50 ART 2025","passed","Wed Jan 22 18:43:52 ART 2025","","pet\Get-TC8.spec.ts","",""
"","1810","TC16: Validar creación de pedido exitoso con producto del inventario (mocking de respuesta)","","Wed Jan 22 18:43:52 ART 2025","passed","Wed Jan 22 18:43:54 ART 2025","","Store\Post-TC16.spec.ts","",""
"","187","TC5: Validar actualización de datos de mascota correctamente","","Wed Jan 22 18:43:52 ART 2025","passed","Wed Jan 22 18:43:52 ART 2025","","pet\Put-TC5.spec.ts","",""
"","2843","TC6: Validar búsqueda de mascotas disponibles por estado","","Wed Jan 22 18:43:50 ART 2025","passed","Wed Jan 22 18:43:53 ART 2025","","pet\Get-TC6.spec.ts","",""
"","420","TC39: Validar login fallido con credenciales incorrectas","","Wed Jan 22 18:43:52 ART 2025","passed","Wed Jan 22 18:43:53 ART 2025","","User\Get-TC39.spec.ts","",""
"","424","TC38: Validar login exitoso con credenciales válidas","","Wed Jan 22 18:43:52 ART 2025","passed","Wed Jan 22 18:43:52 ART 2025","","User\Get-TC38.spec.ts","",""
